x,qx,lx,dx,Lx,Tx,ex
0.00,0.00,100000.00,495.00,99568.00,7994924.00,79.95
1.00,0.00,99505.00,35.00,99488.00,7895357.00,79.35
2.00,0.00,99470.00,23.00,99459.00,7795869.00,78.37
3.00,0.00,99447.00,17.00,99439.00,7696411.00,77.39
4.00,0.00,99430.00,13.00,99424.00,7596972.00,76.41
5.00,0.00,99418.00,12.00,99412.00,7497548.00,75.41
6.00,0.00,99406.00,12.00,99400.00,7398136.00,74.42
7.00,0.00,99394.00,12.00,99388.00,7298737.00,73.43
8.00,0.00,99382.00,11.00,99377.00,7199349.00,72.44
9.00,0.00,99371.00,10.00,99366.00,7099972.00,71.45
10.00,0.00,99361.00,10.00,99356.00,7000606.00,70.46
11.00,0.00,99351.00,10.00,99346.00,6901250.00,69.46
12.00,0.00,99341.00,12.00,99335.00,6801904.00,68.47
13.00,0.00,99330.00,16.00,99322.00,6702569.00,67.48
14.00,0.00,99314.00,21.00,99303.00,6603247.00,66.49
15.00,0.00,99293.00,28.00,99279.00,6503944.00,65.50
16.00,0.00,99265.00,33.00,99248.00,6404665.00,64.52
17.00,0.00,99232.00,38.00,99213.00,6305417.00,63.54
18.00,0.00,99194.00,40.00,99174.00,6206204.00,62.57
19.00,0.00,99154.00,40.00,99134.00,6107030.00,61.59
20.00,0.00,99114.00,40.00,99094.00,6007895.00,60.62
21.00,0.00,99074.00,41.00,99054.00,5908801.00,59.64
22.00,0.00,99034.00,41.00,99013.00,5809747.00,58.66
23.00,0.00,98992.00,42.00,98971.00,5710734.00,57.69
24.00,0.00,98950.00,43.00,98928.00,5611763.00,56.71
25.00,0.00,98907.00,44.00,98885.00,5512834.00,55.74
26.00,0.00,98863.00,46.00,98840.00,5413950.00,54.76
27.00,0.00,98817.00,48.00,98793.00,5315110.00,53.79
28.00,0.00,98769.00,51.00,98743.00,5216318.00,52.81
29.00,0.00,98718.00,55.00,98691.00,5117574.00,51.84
30.00,0.00,98663.00,59.00,98634.00,5018884.00,50.87
31.00,0.00,98605.00,64.00,98573.00,4920250.00,49.90
32.00,0.00,98541.00,69.00,98506.00,4821677.00,48.93
33.00,0.00,98472.00,76.00,98434.00,4723170.00,47.96
34.00,0.00,98396.00,84.00,98354.00,4624737.00,47.00
35.00,0.00,98311.00,93.00,98265.00,4526383.00,46.04
36.00,0.00,98219.00,102.00,98168.00,4428118.00,45.08
37.00,0.00,98117.00,111.00,98061.00,4329951.00,44.13
38.00,0.00,98005.00,121.00,97945.00,4231890.00,43.18
39.00,0.00,97884.00,131.00,97819.00,4133945.00,42.23
40.00,0.00,97753.00,142.00,97682.00,4036126.00,41.29
41.00,0.00,97611.00,154.00,97534.00,3938444.00,40.35
42.00,0.00,97457.00,165.00,97374.00,3840910.00,39.41
43.00,0.00,97292.00,175.00,97205.00,3743536.00,38.48
44.00,0.00,97117.00,184.00,97025.00,3646331.00,37.55
45.00,0.00,96933.00,195.00,96836.00,3549306.00,36.62
46.00,0.00,96739.00,207.00,96635.00,3452470.00,35.69
47.00,0.00,96531.00,221.00,96421.00,3355835.00,34.76
48.00,0.00,96311.00,235.00,96193.00,3259414.00,33.84
49.00,0.00,96076.00,251.00,95950.00,3163221.00,32.92
50.00,0.00,95825.00,269.00,95690.00,3067270.00,32.01
51.00,0.00,95556.00,291.00,95410.00,2971580.00,31.10
52.00,0.00,95265.00,316.00,95107.00,2876170.00,30.19
53.00,0.00,94949.00,347.00,94775.00,2781063.00,29.29
54.00,0.00,94602.00,382.00,94411.00,2686288.00,28.40
55.00,0.00,94220.00,421.00,94010.00,2591876.00,27.51
56.00,0.00,93799.00,464.00,93567.00,2497866.00,26.63
57.00,0.01,93335.00,511.00,93080.00,2404299.00,25.76
58.00,0.01,92824.00,561.00,92544.00,2311219.00,24.90
59.00,0.01,92264.00,614.00,91957.00,2218675.00,24.05
60.00,0.01,91649.00,673.00,91313.00,2126719.00,23.20
61.00,0.01,90976.00,738.00,90608.00,2035406.00,22.37
62.00,0.01,90239.00,808.00,89835.00,1944798.00,21.55
63.00,0.01,89431.00,883.00,88990.00,1854963.00,20.74
64.00,0.01,88548.00,964.00,88066.00,1765974.00,19.94
65.00,0.01,87585.00,1052.00,87059.00,1677907.00,19.16
66.00,0.01,86533.00,1147.00,85959.00,1590849.00,18.38
67.00,0.01,85386.00,1243.00,84764.00,1504889.00,17.62
68.00,0.02,84143.00,1341.00,83472.00,1420125.00,16.88
69.00,0.02,82801.00,1442.00,82080.00,1336653.00,16.14
70.00,0.02,81359.00,1556.00,80581.00,1254573.00,15.42
71.00,0.02,79803.00,1678.00,78964.00,1173992.00,14.71
72.00,0.02,78125.00,1799.00,77225.00,1095028.00,14.02
73.00,0.03,76326.00,1917.00,75367.00,1017802.00,13.33
74.00,0.03,74409.00,2036.00,73391.00,942435.00,12.67
75.00,0.03,72373.00,2170.00,71288.00,869044.00,12.01
76.00,0.03,70203.00,2320.00,69043.00,797755.00,11.36
77.00,0.04,67883.00,2477.00,66645.00,728712.00,10.73
78.00,0.04,65406.00,2636.00,64088.00,662068.00,10.12
79.00,0.04,62770.00,2801.00,61369.00,597980.00,9.53
80.00,0.05,59969.00,2977.00,58480.00,536610.00,8.95
81.00,0.06,56992.00,3158.00,55413.00,478130.00,8.39
82.00,0.06,53833.00,3328.00,52169.00,422717.00,7.85
83.00,0.07,50505.00,3479.00,48766.00,370548.00,7.34
84.00,0.08,47027.00,3609.00,45222.00,321782.00,6.84
85.00,0.09,43418.00,3716.00,41560.00,276559.00,6.37
86.00,0.10,39702.00,3796.00,37804.00,235000.00,5.92
87.00,0.11,35906.00,3839.00,33987.00,197196.00,5.49
88.00,0.12,32067.00,3834.00,30150.00,163209.00,5.09
89.00,0.13,28234.00,3770.00,26349.00,133058.00,4.71
90.00,0.15,24463.00,3642.00,22642.00,106710.00,4.36
91.00,0.17,20822.00,3446.00,19099.00,84067.00,4.04
92.00,0.18,17376.00,3186.00,15783.00,64969.00,3.74
93.00,0.20,14190.00,2873.00,12753.00,49186.00,3.47
94.00,0.22,11317.00,2520.00,10057.00,36433.00,3.22
95.00,0.24,8797.00,2139.00,7727.00,26376.00,3.00
96.00,0.26,6658.00,1755.00,5780.00,18648.00,2.80
97.00,0.28,4903.00,1390.00,4208.00,12868.00,2.62
98.00,0.30,3513.00,1064.00,2981.00,8660.00,2.47
99.00,0.32,2449.00,786.00,2056.00,5679.00,2.32
100.00,0.34,1663.00,566.00,1380.00,3624.00,2.18
101.00,0.36,1097.00,396.00,899.00,2244.00,2.05
102.00,0.38,701.00,268.00,567.00,1345.00,1.92
103.00,0.41,433.00,176.00,345.00,778.00,1.80
104.00,0.43,258.00,111.00,202.00,433.00,1.68
105.00,0.46,147.00,67.00,113.00,230.00,1.57
106.00,0.48,80.00,39.00,61.00,117.00,1.46
107.00,0.51,41.00,21.00,31.00,56.00,1.36
108.00,0.54,20.00,11.00,15.00,26.00,1.27
109.00,0.57,9.00,5.00,7.00,11.00,1.17
110.00,0.61,4.00,2.00,3.00,4.00,1.09
111.00,0.65,2.00,1.00,1.00,2.00,1.00
112.00,0.68,1.00,0.00,0.00,1.00,0.93
113.00,0.73,0.00,0.00,0.00,0.00,0.85
114.00,0.77,0.00,0.00,0.00,0.00,0.78
115.00,0.81,0.00,0.00,0.00,0.00,0.72
116.00,0.85,0.00,0.00,0.00,0.00,0.66
117.00,0.90,0.00,0.00,0.00,0.00,0.61
118.00,0.94,0.00,0.00,0.00,0.00,0.56
119.00,0.99,0.00,0.00,0.00,0.00,0.51