Age,qx, lx, dx,L, Tx,ex
0-1,0.006058,100000.00,605.83,99469.90,7870914.50,78.7
1-2,0.000415,99394.17,41.21,99373.56,7771444.50,78.2
2-3,0.000264,99352.96,26.25,99339.83,7672071.00,77.2
3-4,0.000208,99326.70,20.67,99316.38,7572731.00,76.2
4-5,0.000167,99306.04,16.61,99297.73,7473414.50,75.3
5-6,0.000151,99289.43,14.96,99281.95,7374117.00,74.3
6-7,0.000134,99274.47,13.31,99267.81,7274835.00,73.3
7-8,0.000120,99261.16,11.91,99255.20,7175567.00,72.3
8-9,0.000106,99249.24,10.51,99243.98,7076312.00,71.3
9-10,0.000092,99238.73,9.17,99234.15,6977068.00,70.3
10-11,0.000084,99229.56,8.37,99225.38,6877834.00,69.3
11-12,0.000090,99221.20,8.88,99216.75,6778608.50,68.3
12-13,0.000117,99212.31,11.62,99206.50,6679391.50,67.3
13-14,0.000172,99200.69,17.05,99192.16,6580185.00,66.3
14-15,0.000246,99183.63,24.44,99171.41,6480993.00,65.3
15-16,0.000326,99159.19,32.30,99143.03,6381821.50,64.4
16-17,0.000404,99126.88,40.01,99106.88,6282678.50,63.4
17-18,0.000486,99086.87,48.12,99062.80,6183571.50,62.4
18-19,0.000570,99038.74,56.48,99010.50,6084509.00,61.4
19-20,0.000655,98982.26,64.79,98949.86,5985498.50,60.5
20-21,0.000743,98917.47,73.49,98880.73,5886548.50,59.5
21-22,0.000826,98843.98,81.61,98803.18,5787668.00,58.6
22-23,0.000886,98762.38,87.55,98718.60,5688864.50,57.6
23-24,0.000919,98674.83,90.65,98629.50,5590146.00,56.7
24-25,0.000930,98584.18,91.68,98538.34,5491516.50,55.7
25-26,0.000934,98492.50,92.01,98446.50,5392978.00,54.8
26-27,0.000943,98400.49,92.81,98354.09,5294531.50,53.8
27-28,0.000958,98307.69,94.14,98260.62,5196177.50,52.9
28-29,0.000983,98213.55,96.50,98165.30,5097917.00,51.9
29-30,0.001016,98117.05,99.68,98067.22,4999751.50,51.0
30-31,0.001055,98017.38,103.41,97965.67,4901684.50,50.0
31-32,0.001094,97913.97,107.16,97860.39,4803719.00,49.1
32-33,0.001132,97806.81,110.73,97751.45,4705858.50,48.1
33-34,0.001167,97696.09,113.97,97639.10,4608107.00,47.2
34-35,0.001203,97582.12,117.35,97523.44,4510468.00,46.2
35-36,0.001250,97464.77,121.81,97403.86,4412944.50,45.3
36-37,0.001313,97342.95,127.82,97279.05,4315540.50,44.3
37-38,0.001389,97215.13,135.02,97147.63,4218261.50,43.4
38-39,0.001476,97080.11,143.33,97008.45,4121114.00,42.5
39-40,0.001576,96936.78,152.80,96860.38,4024105.50,41.5
40-41,0.001685,96783.98,163.10,96702.44,3927245.00,40.6
41-42,0.001813,96620.88,175.14,96533.31,3830542.75,39.6
42-43,0.001972,96445.74,190.21,96350.64,3734009.25,38.7
43-44,0.002171,96255.53,209.01,96151.02,3637658.75,37.8
44-45,0.002405,96046.52,230.99,95931.02,3541507.75,36.9
45-46,0.002652,95815.52,254.08,95688.48,3445576.75,36.0
46-47,0.002910,95561.44,278.05,95422.41,3349888.25,35.1
47-48,0.003196,95283.39,304.53,95131.13,3254465.75,34.2
48-49,0.003513,94978.86,333.62,94812.05,3159334.50,33.3
49-50,0.003851,94645.23,364.47,94463.00,3064522.50,32.4
50-51,0.004204,94280.77,396.38,94082.58,2970059.50,31.5
51-52,0.004563,93884.38,428.42,93670.17,2875977.00,30.6
52-53,0.004928,93455.96,460.54,93225.69,2782306.75,29.8
53-54,0.005304,92995.42,493.21,92748.81,2689081.25,28.9
54-55,0.005702,92502.21,527.46,92238.48,2596332.25,28.1
55-56,0.006131,91974.75,563.90,91692.80,2504093.75,27.2
56-57,0.006596,91410.85,602.92,91109.39,2412401.00,26.4
57-58,0.007096,90807.94,644.33,90485.77,2321291.75,25.6
58-59,0.007621,90163.60,687.12,89820.04,2230806.00,24.7
59-60,0.008164,89476.48,730.49,89111.23,2140985.75,23.9
60-61,0.008732,88745.98,774.97,88358.50,2051874.63,23.1
61-62,0.009335,87971.02,821.18,87560.42,1963516.13,22.3
62-63,0.009983,87149.84,870.00,86714.84,1875955.75,21.5
63-64,0.010715,86279.84,924.46,85817.61,1789240.88,20.7
64-65,0.011568,85355.38,987.39,84861.68,1703423.25,20.0
65-66,0.012586,84367.98,1061.84,83837.06,1618561.63,19.2
66-67,0.013763,83306.15,1146.57,82732.86,1534724.50,18.4
67-68,0.015057,82159.58,1237.07,81541.05,1451991.63,17.7
68-69,0.016380,80922.51,1325.52,80259.75,1370450.63,16.9
69-70,0.017756,79596.98,1413.34,78890.31,1290190.88,16.2
70-71,0.019299,78183.65,1508.84,77429.23,1211300.50,15.5
71-72,0.021039,76674.81,1613.14,75868.24,1133871.25,14.8
72-73,0.022997,75061.67,1726.23,74198.56,1058003.00,14.1
73-74,0.025182,73335.45,1846.76,72412.06,983804.50,13.4
74-75,0.027634,71488.69,1975.50,70500.94,911392.44,12.7
75-76,0.030322,69513.19,2107.77,68459.30,840891.50,12.1
76-77,0.033309,67405.41,2245.19,66282.82,772432.19,11.5
77-78,0.036740,65160.22,2393.99,63963.23,706149.38,10.8
78-79,0.040688,62766.24,2553.81,61489.34,642186.13,10.2
79-80,0.045172,60212.43,2719.93,58852.47,580696.81,9.6
80-81,0.050072,57492.50,2878.77,56053.12,521844.34,9.1
81-82,0.055306,54613.73,3020.49,53103.49,465791.22,8.5
82-83,0.061241,51593.24,3159.61,50013.44,412687.75,8.0
83-84,0.067893,48433.63,3288.30,46789.48,362674.31,7.5
84-85,0.075594,45145.34,3412.71,43438.98,315884.81,7.0
85-86,0.084649,41732.63,3532.62,39966.31,272445.84,6.5
86-87,0.094437,38200.00,3607.48,36396.26,232479.52,6.1
87-88,0.105152,34592.52,3637.47,32773.79,196083.27,5.7
88-89,0.116835,30955.05,3616.62,29146.74,163309.47,5.3
89-90,0.129516,27338.43,3540.76,25568.04,134162.73,4.9
90-91,0.143215,23797.66,3408.19,22093.57,108594.70,4.6
91-92,0.157937,20389.47,3220.26,18779.34,86501.13,4.2
92-93,0.173671,17169.21,2981.79,15678.32,67721.78,3.9
93-94,0.190385,14187.42,2701.08,12836.88,52043.46,3.7
94-95,0.208029,11486.34,2389.50,10291.60,39206.59,3.4
95-96,0.226531,9096.85,2060.72,8066.49,28914.99,3.2
96-97,0.245796,7036.13,1729.45,6171.40,20848.50,3.0
97-98,0.265711,5306.68,1410.04,4601.66,14677.10,2.8
98-99,0.286142,3896.64,1114.99,3339.14,10075.44,2.6
99-100,0.306941,2781.65,853.80,2354.75,6736.30,2.4
100 and over,1.000000,1927.84,1927.84,4381.56,4381.56,2.3
"SOURCE: CDC/NCHS, National Vital Statistics System.",,,,,,